monkey-SL-E-k6.clu	CON 	cluster 1 	(1000 objects):	19.5466
monkey-SL-E-k6.clu	CON 	cluster 2 	(500 objects):	0.779758
monkey-SL-E-k6.clu	CON 	cluster 3 	(500 objects):	1.62176
monkey-SL-E-k6.clu	CON 	cluster 4 	(500 objects):	51.1495
monkey-SL-E-k6.clu	CON 	cluster 5 	(1000 objects):	333.426
monkey-SL-E-k6.clu	CON 	cluster 6 	(500 objects):	24.4909
monkey-SL-E-k6.clu	DEV 	cluster 1 	(1000 objects):	3659.34
monkey-SL-E-k6.clu	DEV 	cluster 2 	(500 objects):	903.923
monkey-SL-E-k6.clu	DEV 	cluster 3 	(500 objects):	950.719
monkey-SL-E-k6.clu	DEV 	cluster 4 	(500 objects):	3090.2
monkey-SL-E-k6.clu	DEV 	cluster 5 	(1000 objects):	11109.5
monkey-SL-E-k6.clu	DEV 	cluster 6 	(500 objects):	1937.17
monkey-SL-E-k6.clu	VAR 	cluster 1 	(1000 objects):	1.91294
monkey-SL-E-k6.clu	VAR 	cluster 2 	(500 objects):	1.34456
monkey-SL-E-k6.clu	VAR 	cluster 3 	(500 objects):	1.37893
monkey-SL-E-k6.clu	VAR 	cluster 4 	(500 objects):	2.48604
monkey-SL-E-k6.clu	VAR 	cluster 5 	(1000 objects):	3.3331
monkey-SL-E-k6.clu	VAR 	cluster 6 	(500 objects):	1.96833
monkey-SL-E-k6.clu	SIL 	cluster 1 	(1000 objects):	0.734314
monkey-SL-E-k6.clu	SIL 	cluster 2 	(500 objects):	0.880919
monkey-SL-E-k6.clu	SIL 	cluster 3 	(500 objects):	0.851501
monkey-SL-E-k6.clu	SIL 	cluster 4 	(500 objects):	0.640396
monkey-SL-E-k6.clu	SIL 	cluster 5 	(1000 objects):	0.394421
monkey-SL-E-k6.clu	SIL 	cluster 6 	(500 objects):	0.800449
monkey-KM-E-k11-Run30.clu	CON 	cluster 1 	(432 objects):	168.081
monkey-KM-E-k11-Run30.clu	CON 	cluster 3 	(404 objects):	114.85
monkey-KM-E-k11-Run30.clu	CON 	cluster 4 	(478 objects):	93.4204
monkey-KM-E-k11-Run30.clu	CON 	cluster 7 	(407 objects):	97.6499
monkey-KM-E-k11-Run30.clu	CON 	cluster 10 	(401 objects):	141.133
monkey-KM-E-k11-Run30.clu	CON 	cluster 6 	(399 objects):	118.101
monkey-KM-E-k11-Run30.clu	CON 	cluster 9 	(231 objects):	85.4256
monkey-KM-E-k11-Run30.clu	CON 	cluster 8 	(235 objects):	63.6221
monkey-KM-E-k11-Run30.clu	CON 	cluster 11 	(263 objects):	117.958
monkey-KM-E-k11-Run30.clu	CON 	cluster 5 	(470 objects):	14.9361
monkey-KM-E-k11-Run30.clu	CON 	cluster 2 	(280 objects):	75.9585
monkey-KM-E-k11-Run30.clu	DEV 	cluster 1 	(432 objects):	881.194
monkey-KM-E-k11-Run30.clu	DEV 	cluster 3 	(404 objects):	873.255
monkey-KM-E-k11-Run30.clu	DEV 	cluster 4 	(478 objects):	954.237
monkey-KM-E-k11-Run30.clu	DEV 	cluster 7 	(407 objects):	1096.38
monkey-KM-E-k11-Run30.clu	DEV 	cluster 10 	(401 objects):	784.737
monkey-KM-E-k11-Run30.clu	DEV 	cluster 6 	(399 objects):	795.563
monkey-KM-E-k11-Run30.clu	DEV 	cluster 9 	(231 objects):	681.941
monkey-KM-E-k11-Run30.clu	DEV 	cluster 8 	(235 objects):	676.39
monkey-KM-E-k11-Run30.clu	DEV 	cluster 11 	(263 objects):	814.872
monkey-KM-E-k11-Run30.clu	DEV 	cluster 5 	(470 objects):	1747.34
monkey-KM-E-k11-Run30.clu	DEV 	cluster 2 	(280 objects):	908.006
monkey-KM-E-k11-Run30.clu	VAR 	cluster 1 	(432 objects):	1.42822
monkey-KM-E-k11-Run30.clu	VAR 	cluster 3 	(404 objects):	1.47021
monkey-KM-E-k11-Run30.clu	VAR 	cluster 4 	(478 objects):	1.41291
monkey-KM-E-k11-Run30.clu	VAR 	cluster 7 	(407 objects):	1.64129
monkey-KM-E-k11-Run30.clu	VAR 	cluster 10 	(401 objects):	1.39891
