ID	C1S1O1	C2S3O283	C2S3O315	C2S3O432	C2S3O439	C2S3O449	C3S4O567	C3S5O620	C2S3O334	cLabel	pLabel	cSize
c1partitionk2s5.clu	1	1	1	1	1	1	1	1	0	c1	partitionk2s5.clu	904.0
c1partitionk3s4.clu	1	1	1	1	1	0	1	1	0	c1	partitionk3s4.clu	900.0
c0partitionk2s8.clu	1	1	1	1	1	1	0	1	1	c0	partitionk2s8.clu	585.0
c1partitionk2s3.clu	1	1	1	1	0	0	0	0	1	c1	partitionk2s3.clu	479.0
c1partitionk2s2.clu	1	1	1	0	0	0	0	0	1	c1	partitionk2s2.clu	477.0
c2partitionk2s2.clu	0	0	0	1	1	1	1	1	0	c2	partitionk2s2.clu	428.0
c2partitionk2s3.clu	0	0	0	0	1	1	1	1	0	c2	partitionk2s3.clu	426.0
c4partitionk4s6.clu	0	0	0	0	0	0	1	1	0	c4	partitionk4s6.clu	328.0
c4partitionk4s1.clu	0	0	0	0	0	0	1	0	0	c4	partitionk4s1.clu	320.0
c1partitionk2s8.clu	0	0	0	0	0	0	1	0	0	c1	partitionk2s8.clu	320.0
c2partitionk3s7.clu	0	0	0	0	0	0	1	0	0	c2	partitionk3s7.clu	320.0
c1partitionk4s1.clu	1	0	1	0	0	0	0	0	0	c1	partitionk4s1.clu	300.0
c0partitionk3s7.clu	1	0	1	0	0	0	0	0	0	c0	partitionk3s7.clu	300.0
c1partitionk4s6.clu	1	0	0	0	0	0	0	0	0	c1	partitionk4s6.clu	298.0
c1partitionk3s7.clu	0	1	0	1	1	1	0	1	1	c1	partitionk3s7.clu	285.0
c2partitionk4s6.clu	0	1	1	1	0	0	0	0	1	c2	partitionk4s6.clu	181.0
c2partitionk4s1.clu	0	1	0	0	0	0	0	0	1	c2	partitionk4s1.clu	177.0
c3partitionk4s1.clu	0	0	0	1	1	1	0	1	0	c3	partitionk4s1.clu	108.0
c3partitionk4s6.clu	0	0	0	0	1	1	0	0	0	c3	partitionk4s6.clu	98.0
c3partitionk3s4.clu	0	0	0	0	0	1	0	0	0	c3	partitionk3s4.clu	4.0
c2partitionk2s5.clu	0	0	0	0	0	0	0	0	1	c2	partitionk2s5.clu	1.0
c2partitionk3s4.clu	0	0	0	0	0	0	0	0	1	c2	partitionk3s4.clu	1.0
