ID	C1S1O1	C1S1O10	C1S1O19	C1S2O116	C2S3O283	C2S3O285	C2S3O289	C2S3O292	C2S3O432	C2S3O439	C3S4O567	C3S5O621	cLabel	pLabel	cSize
c1ds3c3sc6-AL-E-k2.clu	1	1	1	1	1	1	1	1	0	0	0	0	c1	ds3c3sc6-AL-E-k2.clu	477.0
c2ds3c3sc6-AL-E-k2.clu	0	0	0	0	0	0	0	0	1	1	1	1	c2	ds3c3sc6-AL-E-k2.clu	428.0
c3ds3c3sc6-AL-E-k3.clu	0	0	0	0	0	0	0	0	1	1	1	1	c3	ds3c3sc6-AL-E-k3.clu	428.0
c6ds3c3sc6-AL-E-k6.clu	0	0	0	0	0	0	0	0	0	0	1	1	c6	ds3c3sc6-AL-E-k6.clu	320.0
c7ds3c3sc6-AL-E-k7.clu	0	0	0	0	0	0	0	0	0	0	1	1	c7	ds3c3sc6-AL-E-k7.clu	320.0
c4ds3c3sc6-AL-E-k4.clu	0	0	0	0	0	0	0	0	0	0	1	1	c4	ds3c3sc6-AL-E-k4.clu	320.0
c5ds3c3sc6-AL-E-k5.clu	0	0	0	0	0	0	0	0	0	0	1	1	c5	ds3c3sc6-AL-E-k5.clu	320.0
c8ds3c3sc6-AL-E-k8.clu	0	0	0	0	0	0	0	0	0	0	1	1	c8	ds3c3sc6-AL-E-k8.clu	320.0
c1ds3c3sc6-AL-E-k3.clu	1	1	1	1	0	0	0	0	0	0	0	0	c1	ds3c3sc6-AL-E-k3.clu	300.0
c1ds3c3sc6-AL-E-k4.clu	1	1	1	1	0	0	0	0	0	0	0	0	c1	ds3c3sc6-AL-E-k4.clu	300.0
c2ds3c3sc6-AL-E-k5.clu	0	1	1	0	0	0	0	0	0	0	0	0	c2	ds3c3sc6-AL-E-k5.clu	205.0
c2ds3c3sc6-AL-E-k6.clu	0	1	1	0	0	0	0	0	0	0	0	0	c2	ds3c3sc6-AL-E-k6.clu	205.0
c11ds3c3sc6-AL-E-k12.clu	0	0	0	0	0	0	0	0	0	0	1	0	c11	ds3c3sc6-AL-E-k12.clu	194.0
c8ds3c3sc6-AL-E-k9.clu	0	0	0	0	0	0	0	0	0	0	1	0	c8	ds3c3sc6-AL-E-k9.clu	194.0
c10ds3c3sc6-AL-E-k11.clu	0	0	0	0	0	0	0	0	0	0	1	0	c10	ds3c3sc6-AL-E-k11.clu	194.0
c2ds3c3sc6-AL-E-k3.clu	0	0	0	0	1	1	1	1	0	0	0	0	c2	ds3c3sc6-AL-E-k3.clu	177.0
c3ds3c3sc6-AL-E-k5.clu	0	0	0	0	1	1	1	1	0	0	0	0	c3	ds3c3sc6-AL-E-k5.clu	177.0
c2ds3c3sc6-AL-E-k4.clu	0	0	0	0	1	1	1	1	0	0	0	0	c2	ds3c3sc6-AL-E-k4.clu	177.0
c2ds3c3sc6-AL-E-k9.clu	0	0	1	0	0	0	0	0	0	0	0	0	c2	ds3c3sc6-AL-E-k9.clu	133.0
c2ds3c3sc6-AL-E-k7.clu	0	0	1	0	0	0	0	0	0	0	0	0	c2	ds3c3sc6-AL-E-k7.clu	133.0
c2ds3c3sc6-AL-E-k11.clu	0	0	1	0	0	0	0	0	0	0	0	0	c2	ds3c3sc6-AL-E-k11.clu	133.0
c2ds3c3sc6-AL-E-k8.clu	0	0	1	0	0	0	0	0	0	0	0	0	c2	ds3c3sc6-AL-E-k8.clu	133.0
c2ds3c3sc6-AL-E-k12.clu	0	0	1	0	0	0	0	0	0	0	0	0	c2	ds3c3sc6-AL-E-k12.clu	133.0
c9ds3c3sc6-AL-E-k9.clu	0	0	0	0	0	0	0	0	0	0	0	1	c9	ds3c3sc6-AL-E-k9.clu	126.0
c11ds3c3sc6-AL-E-k11.clu	0	0	0	0	0	0	0	0	0	0	0	1	c11	ds3c3sc6-AL-E-k11.clu	126.0
c12ds3c3sc6-AL-E-k12.clu	0	0	0	0	0	0	0	0	0	0	0	1	c12	ds3c3sc6-AL-E-k12.clu	126.0
c5ds3c3sc6-AL-E-k6.clu	0	0	0	0	0	0	0	0	1	1	0	0	c5	ds3c3sc6-AL-E-k6.clu	108.0
c4ds3c3sc6-AL-E-k5.clu	0	0	0	0	0	0	0	0	1	1	0	0	c4	ds3c3sc6-AL-E-k5.clu	108.0
c6ds3c3sc6-AL-E-k7.clu	0	0	0	0	0	0	0	0	1	1	0	0	c6	ds3c3sc6-AL-E-k7.clu	108.0
c3ds3c3sc6-AL-E-k4.clu	0	0	0	0	0	0	0	0	1	1	0	0	c3	ds3c3sc6-AL-E-k4.clu	108.0
c1ds3c3sc6-AL-E-k8.clu	1	0	0	1	0	0	0	0	0	0	0	0	c1	ds3c3sc6-AL-E-k8.clu	95.0
c1ds3c3sc6-AL-E-k5.clu	1	0	0	1	0	0	0	0	0	0	0	0	c1	ds3c3sc6-AL-E-k5.clu	95.0
c1ds3c3sc6-AL-E-k9.clu	1	0	0	1	0	0	0	0	0	0	0	0	c1	ds3c3sc6-AL-E-k9.clu	95.0
c1ds3c3sc6-AL-E-k6.clu	1	0	0	1	0	0	0	0	0	0	0	0	c1	ds3c3sc6-AL-E-k6.clu	95.0
c1ds3c3sc6-AL-E-k7.clu	1	0	0	1	0	0	0	0	0	0	0	0	c1	ds3c3sc6-AL-E-k7.clu	95.0
c4ds3c3sc6-AL-E-k9.clu	0	0	0	0	1	1	0	0	0	0	0	0	c4	ds3c3sc6-AL-E-k9.clu	89.0
c5ds3c3sc6-AL-E-k11.clu	0	0	0	0	1	1	0	0	0	0	0	0	c5	ds3c3sc6-AL-E-k11.clu	89.0
c4ds3c3sc6-AL-E-k8.clu	0	0	0	0	1	1	0	0	0	0	0	0	c4	ds3c3sc6-AL-E-k8.clu	89.0
c4ds3c3sc6-AL-E-k7.clu	0	0	0	0	1	1	0	0	0	0	0	0	c4	ds3c3sc6-AL-E-k7.clu	89.0
